{0: 0.001},,,,,,,,,,,,,,,,,,
['air1', 'furnace1', 'refrigerator1', 'clotheswasher1', 'drye1', 'dishwasher1', 'kitchenapp1', 'microwave1'],,,,,,,,,,,
{3413: ('2015-01-01', '2016-01-01')},,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest
-1427.285,0.128,0.015,0.017,0.002,0.177,0.016,0.008,0.011,0.114,0.056,0.07,0.011,0.054,0.031,0.022,0.026,0.047,0.048
,,,,,,,,,,,,,,,,,,
relErr1,relErr2,relErr3,relErr4,relErr5,relErr6,relErr7,relErr8,propAssigned1,propAssigned2,propAssigned3,propAssigned4,propAssigned5,,,,,,
-0.0282103867,0.0199361692,0.0844145747,0.1501144077,0.0563723651,0.1131911987,0.9384468442,-0.4370624491,0.9218837918,0.9610676667,0.9516158526,0.9923470294,0.9632841459,0.9785182285,0.9851060146,0.9820843232,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,
500,500,500,200,200,200,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8
0,479.04,17.64,1.435,1.225,1.116,1.114,1.364,1.056,1.136,1.17,0.943,0.881,0.839,0.837,0.885,0.816,0.847,0.859
10,-682.97,8.31,0.609,0.021,0.019,0.004,0.284,0.061,0.046,0.006,0.436,0.077,0.091,0.037,0.118,0.123,0.166,0.03
20,-864.68,3.66,0.548,0.017,0.02,0.017,0.315,0.028,0.006,0.091,0.38,0.068,0.086,0.087,0.18,0.051,0.027,0.198
31,-36.59,30.06,0.47,0.031,0.017,0.056,0.359,0.192,0.007,0.023,0.333,0.138,0.085,0.135,0.304,0.374,0.028,0.05
41,-794.22,2.2,0.341,0.018,0.018,0.052,0.526,0.109,0.026,0.023,0.266,0.066,0.092,0.118,0.238,0.296,0.084,0.051
51,-912.1,3.31,0.247,0.04,0.018,0.026,0.423,0.119,0.009,0.016,0.207,0.121,0.087,0.081,0.149,0.219,0.03,0.038
62,-698.16,6.21,0.282,0.021,0.018,0.065,0.372,0.084,0.052,0.015,0.294,0.074,0.089,0.172,0.098,0.156,0.129,0.05
72,-994.33,1.52,0.227,0.013,0.012,0.015,0.284,0.03,0.056,0.006,0.194,0.054,0.071,0.035,0.091,0.048,0.207,0.016
83,-958.93,5.63,0.194,0.011,0.012,0.011,0.346,0.03,0.026,0.009,0.209,0.049,0.067,0.044,0.112,0.058,0.051,0.041
